name;id;price;brand;category;spec;img_url
Acer Nitro 5 AN517-51-7204;AR202009230137;1199.9;Acer;PC portable;"Intel Core i7-9750H 16 Go SSD 512 Go 17.3"" LED Full HD 120 Hz NVIDIA GeForce RTX 2060 6 Go Wi-Fi AX/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/32/81/LD0005328152_2_0005335075_0005335406_0005681535_0005757783.jpg
ASUS Vivobook 14 E410MA-EK211T avec NumPad;AR202007300167;479.95;ASUS;PC portable;"Intel Celeron N4020 4 Go SSD 256 Go 14"" LED Full HD Wi-Fi AC/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/70/91/LD0005709196_1_0005770571.jpg
ASUS R509JA-EJ029;AR201912020057;699.95;ASUS;PC portable;"Intel Core i5-1035G1 8 Go SSD 256 Go 15.6"" LED Full HD Wi-Fi AC/Bluetooth Webcam Endless OS";https://media.ldlc.com/r150/ld/products/00/05/76/79/LD0005767971_1.jpg
MSI GF65 Thin 9SEXR-692FR;AR202006020008;1329.9;MSI;PC portable;"Intel Core i7-9750H 16 Go SSD 512 Go 15.6"" LED Full HD 144 Hz NVIDIA GeForce RTX 2060 6 Go Wi-Fi AC/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/66/11/LD0005661102_2_0005696840.jpg
Lenovo IdeaPad Gaming 3 15ARH05 (82EY000BFR);AR202006090085;899.95;Lenovo;PC portable;"AMD Ryzen 5 4600H 8 Go SSD 512 Go 15.6"" LED Full HD 120 Hz NVIDIA GeForce GTX 1650 4GB Wi-Fi AC/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/72/48/LD0005724817_1.jpg
ASUS Vivobook S14 S413IA-EK207T avec NumPad;AR202003110007;729.95;ASUS;PC portable;"AMD Ryzen 5 4500U 8 Go SSD 256 Go 14"" LED Full HD Wi-Fi AC/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/70/48/LD0005704854_1_0005711712.jpg
Lenovo ThinkBook 15-IIL (20SM002PFR);AR202006030018;819.95;Lenovo;PC portable;"Intel Core i5-1035G1 8 Go SSD 256 Go 15.6"" LED Full HD Wi-Fi AX/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/60/79/LD0005607925_2_0005675271_0005734718.jpg
MSI Bravo 17 A4DDR-047XFR;AR202005290109;1099.94;MSI;PC portable;"AMD Ryzen 5 4600H 16 Go SSD 512 Go 17.3"" LED Full HD 144 Hz AMD Radeon RX 5500M 4 Go Wi-Fi AX/Bluetooth Webcam FreeDOS";https://media.ldlc.com/r150/ld/products/00/05/68/55/LD0005685506_1_0005707212.jpg
Acer Swift 3 SF314-57-32Y2 Gris;AR202008120030;659.95;Acer;PC portable;"Intel Core i3-1005G1 8 Go SSD 256 Go 14"" LED Full HD Wi-Fi AX/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/75/24/LD0005752486_1.jpg
ASUS TUF GAMING F15-TUF566LU-HN145T;AR202007310003;1299.95;ASUS;PC portable;"Intel Core i7-10870H 16 Go SSD 512 Go 15.6"" LED Full HD 144 Hz NVIDIA GeForce GTX 1660 Ti 6 Go Wi-Fi AX/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/71/26/LD0005712626_1_0005744262.jpg
Acer Nitro 5 AN515-55-7159;AR202003030066;1349.95;Acer;PC portable;"Intel Core i7-10750H 16 Go SSD 512 Go 15.6"" LED Full HD 144 Hz NVIDIA GeForce GTX 1660 Ti 6 Go Wi-Fi AX/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/69/35/LD0005693592_1_0005699035.jpg
HP 15s-fq1029nf;AR202007030006;549.95;HP;PC portable;"Intel Core i3-1005G1 4 Go SSD 512 Go 15.6"" LED HD Wi-Fi AC/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/71/56/LD0005715668_1.jpg
Acer Nitro 5 AN515-55-75VM;AR202006030094;1049.95;Acer;PC portable;"Intel Core i7-10750H 8 Go SSD 512 Go 15.6"" LED Full HD NVIDIA GeForce GTX 1650 4 Go Wi-Fi AX/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/70/66/LD0005706694_1.jpg
Acer Aspire 3 A317-51G-79MU;AR201909020051;1099.95;Acer;PC portable;"Intel Core i7-10510U 8 Go SSD 512 Go + HDD 1 To 17.3"" LED Full HD NVIDIA GeForce MX250 Graveur DVD Wi-Fi AC/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/36/02/LD0005360216_2_0005361846_0005515843.jpg
ASUS A15 TUF506II-AL024T;AR201912160084;1049.95;ASUS;PC portable;"AMD Ryzen 5 4600H 8 Go SSD 512 Go 15.6"" LED Full HD 144 Hz NVIDIA GeForce GTX 1650 Ti 4 Go Wi-Fi AC/Bluetooth Webcam Windows 10 Famille 64 bits";https://media.ldlc.com/r150/ld/products/00/05/70/03/LD0005700311_1.jpg
