name;id;price;brand;category;spec;img_url
Apple iPad Pro (2018) 11 pouces 64 Go Wi-Fi + Cellular Argent - Reconditionné;AR201811020053;809.9;Apple;Tablette tactile;"Tablette Internet 4G-LTE - Apple A12X Bionic 64 bits - 4 Go - eMMC 64 Go - Écran 11"" LED IPS tactile - Wi-Fi AC / Bluetooth - Webcam - USB-C - iOS 12";https://media.ldlc.com/r150/ld/products/00/05/10/49/LD0005104937_2.jpg
Apple iPad mini 5 Wi-Fi 64 Go Gris Sidéral;AR201903280056;459.95;Apple;Tablette tactile;"Tablette Internet - Apple A12 Bionic 64 bits - 3 Go - eMMC 64 Go - Écran 7.9"" LED tactile - Wi-Fi AC / Bluetooth - Webcam - Lightning - iOS 12";https://media.ldlc.com/r150/ld/products/00/05/27/22/LD0005272286_2.jpg
Apple iPad mini 5 Wi-Fi 64 Go Or;AR201903280058;459.95;Apple;Tablette tactile;"Tablette Internet - Apple A12 Bionic 64 bits - 3 Go - eMMC 64 Go - Écran 7.9"" LED tactile - Wi-Fi AC / Bluetooth - Webcam - Lightning - iOS 12";https://media.ldlc.com/r150/ld/products/00/05/27/22/LD0005272256_2.jpg
Apple iPad Pro (2020) 11 pouces 256 Go Wi-Fi + Cellular Gris Sidéral;AR202003200016;1179.95;Apple;Tablette tactile;"Tablette Internet 4G-LTE Advanced - Apple A12Z Bionic 64 bits - 6 Go - eMMC 256 Go - Écran 11"" LED IPS tactile - Wi-Fi AX / Bluetooth 5 - Webcam - USB-C - iPadOS";https://media.ldlc.com/r150/ld/products/00/05/63/62/LD0005636237_2_0005636260.jpg
Apple iPad Pro (2020) 12.9 pouces 1 To Wi-Fi Gris Sidéral;AR202003190083;1669.94;Apple;Tablette tactile;"Tablette Internet - Apple A12Z Bionic 64 bits - 6 Go - eMMC 1 To - Écran 12.9"" LED IPS tactile - Wi-Fi AX / Bluetooth 5 - Webcam - USB-C - iPadOS";https://media.ldlc.com/r150/ld/products/00/05/63/65/LD0005636562_2_0005636590.jpg
Apple iPad Pro (2020) 11 pouces 256 Go Wi-Fi Argent;AR202003200008;999.95;Apple;Tablette tactile;"Tablette Internet - Apple A12Z Bionic 64 bits - 6 Go - eMMC 256 Go - Écran 11"" LED IPS tactile - Wi-Fi AX / Bluetooth 5 - Webcam - USB-C - iPadOS";https://media.ldlc.com/r150/ld/products/00/05/63/58/LD0005635879_2_0005635926_0005636000.jpg
Apple iPad Pro (2020) 12.9 pouces 1 To Wi-Fi + Cellular Gris Sidéral;AR202003200026;1839.95;Apple;Tablette tactile;"Tablette Internet 4G-LTE Advanced - Apple A12Z Bionic 64 bits - 6 Go - eMMC 1 To - Écran 12.9"" LED IPS tactile - Wi-Fi AX / Bluetooth 5 - Webcam - USB-C - iPadOS";https://media.ldlc.com/r150/ld/products/00/05/63/64/LD0005636477_2_0005636520_0005636540.jpg
Apple iPad Air (2020) Wi-Fi + Cellular 256 Go Gris Sidéral;AR202009170078;979.96;Apple;Tablette tactile;"Tablette Internet 4G-LTE Advanced - Apple A14 Bionic 64 bits - eMMC 256 Go - Écran 10.9"" LED tactile - Wi-Fi AX/Bluetooth 5.0 - Webcam - USB-C - iPadOS 14";https://media.ldlc.com/r150/ld/products/00/05/72/17/LD0005721738_1_0005721742.jpg
Apple iPad Pro (2018) 12.9 pouces 64 Go Wi-Fi + Cellular Argent;AR201811020034;1289.95;Apple;Tablette tactile;"Tablette Internet 4G-LTE - Apple A12X Bionic 64 bits - 4 Go - eMMC 64 Go - Écran 12.9"" LED IPS tactile - Wi-Fi AC / Bluetooth - Webcam - USB-C - iOS 12";https://media.ldlc.com/r150/ld/products/00/05/10/54/LD0005105437_2.jpg
"Samsung Galaxy Tab S7 11&quot; SM-T875 256 Go Mystic Black - 4G LTE";AR202008040024;899.95;Samsung;Tablette tactile;"Tablette Internet - Snapdragon 865 Plus Octo-Core 1.8 GHz - RAM 8 Go - 128 Go - Écran LTPS 11"" 120Hz - Wi-Fi/Bluetooth/4G LTE - Webcam - 8000 mAh - S Pen - Android 10";https://media.ldlc.com/r150/ld/products/00/05/70/54/LD0005705448_1_0005705489_0005705499.jpg
